city,dates,match_type,outcome,overs,player_of_match,venue,winner,opposition,toss_winner,toss_decision
,2008-11-24,ODI,"{by={runs=5}, winner=Sri Lanka}",50,[H Masakadza],Harare Sports Club,Sri Lanka,Zimbabwe, Zimbabwe,field
,2008-11-30,ODI,"{by={runs=19}, winner=Sri Lanka}",50,[M Muralitharan],Harare Sports Club,Sri Lanka,Zimbabwe, Zimbabwe,field
,"2009-01-03, 2009-01-04, 2009-01-05, 2009-01-06",Test,"{by={runs=465}, winner=Sri Lanka}",,[TM Dilshan],Chittagong Divisional Stadium,Sri Lanka,Bangladesh, Sri Lanka,bat
Mirpur,2009-01-14,ODI,"{by={wickets=5}, winner=Bangladesh}",50,[Shakib Al Hasan],Shere Bangla National Stadium,Bangladesh,Bangladesh, Bangladesh,field
Karachi,2009-01-20,ODI,"{by={wickets=8}, winner=Pakistan}",50,[Salman Butt],National Stadium,Pakistan,Pakistan, Sri Lanka,bat
Karachi,2009-01-21,ODI,"{by={runs=129}, winner=Sri Lanka}",50,[TM Dilshan],National Stadium,Sri Lanka,Pakistan, Pakistan,field
Lahore,2009-01-24,ODI,"{by={runs=234}, winner=Sri Lanka}",50,[TM Dilshan],Gaddafi Stadium,Sri Lanka,Pakistan, Sri Lanka,bat
,2009-01-28,ODI,"{by={wickets=6}, winner=India}",50,[ST Jayasuriya],Rangiri Dambulla International Stadium,India, India, India,field
Colombo,2009-01-31,ODI,"{by={runs=15}, winner=India}",50,[I Sharma],R Premadasa Stadium,India, India, India,bat
Colombo,2009-02-03,ODI,"{by={runs=147}, winner=India}",50,[Yuvraj Singh],R Premadasa Stadium,India, India, India,bat
Colombo,2009-02-05,ODI,"{by={runs=67}, winner=India}",50,[G Gambhir],R Premadasa Stadium,India, India, India,bat
Colombo,2009-02-08,ODI,"{by={runs=68}, winner=Sri Lanka}",50,[KC Sangakkara],R Premadasa Stadium,Sri Lanka, India, Sri Lanka,bat
Colombo,2009-02-10,T20,"{by={wickets=3}, winner=India}",20,[YK Pathan],R Premadasa Stadium,India, India, Sri Lanka,bat
Karachi,"2009-02-21, 2009-02-22, 2009-02-23, 2009-02-24, 2009-02-25",Test,{result=draw},,[Younis Khan],National Stadium,draw,Pakistan, Sri Lanka,bat
Lahore,"2009-03-01, 2009-03-02, 2009-03-03, 2009-03-04, 2009-03-05",Test,{result=draw},,,Gaddafi Stadium,draw,Pakistan, Pakistan,field
,"2009-07-04, 2009-07-05, 2009-07-06, 2009-07-07",Test,"{by={runs=50}, winner=Sri Lanka}",,[HMRKB Herath],Galle International Stadium,Sri Lanka, Pakistan, Pakistan,field
Colombo,"2009-07-12, 2009-07-13, 2009-07-14",Test,"{by={wickets=7}, winner=Sri Lanka}",,"[Fawad Alam, KMDN Kulasekara]",P Sara Oval,Sri Lanka, Pakistan, Pakistan,bat
Colombo,"2009-07-20, 2009-07-21, 2009-07-22, 2009-07-23, 2009-07-24",Test,{result=draw},,[KC Sangakkara],Sinhalese Sports Club Ground,draw, Pakistan, Sri Lanka,field
,2009-07-30,ODI,"{by={runs=36}, winner=Sri Lanka}",50,[M Muralitharan],Rangiri Dambulla International Stadium,Sri Lanka, Pakistan, Pakistan,field
,2009-08-01,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[CK Kapugedera],Rangiri Dambulla International Stadium,Sri Lanka, Pakistan, Sri Lanka,field
,2009-08-03,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[DPMD Jayawardene],Rangiri Dambulla International Stadium,Sri Lanka, Pakistan, Sri Lanka,field
Colombo,2009-08-07,ODI,"{by={runs=146}, winner=Pakistan}",50,[Umar Akmal],R Premadasa Stadium,Pakistan, Pakistan, Pakistan,bat
Colombo,2009-08-09,ODI,"{by={runs=132}, winner=Pakistan}",50,[Naved-ul-Hasan],R Premadasa Stadium,Pakistan, Pakistan, Pakistan,bat
Colombo,2009-08-12,T20,"{by={runs=52}, winner=Pakistan}",20,[Shahid Afridi],R Premadasa Stadium,Pakistan, Pakistan, Pakistan,bat
